track.id,chrom,contigStart,contigEnd,regions,fp,possible_fp,fn,possible_fn,errors,penalty,numPeaks
aorta_ENCFF115HTK,chr1,10000,177417,0,0,0,0,0,-1,982.568674,4
aorta_ENCFF115HTK,chr1,227417,267719,0,0,0,0,0,-1,0.021833,9
aorta_ENCFF115HTK,chr1,521368,2634220,0,0,0,0,0,-1,71979.807053,26
aorta_ENCFF115HTK,chr1,2684220,3845268,0,0,0,0,0,-1,45060.758706,10
aorta_ENCFF115HTK,chr1,3995268,13052998,0,0,0,0,0,-1,51603.902175,62
aorta_ENCFF115HTK,chr1,13102998,13219912,0,0,0,0,0,-1,28.203281,109
aorta_ENCFF115HTK,chr1,13319912,13557162,0,0,0,0,0,-1,5.337358,16
aorta_ENCFF115HTK,chr1,13607162,17125658,0,0,0,0,0,-1,1000,262
aorta_ENCFF115HTK,chr1,13607162,17125658,0,0,0,0,0,-1,10000,48
aorta_ENCFF115HTK,chr1,13607162,17125658,0,0,0,0,0,-1,1e+05,18
aorta_ENCFF115HTK,chr1,13607162,17125658,0,0,0,0,0,-1,1e+06,0
aorta_ENCFF115HTK,chr1,17175658,29878082,0,0,0,0,0,-1,1000,959
aorta_ENCFF115HTK,chr1,17175658,29878082,0,0,0,0,0,-1,10000,200
aorta_ENCFF115HTK,chr1,17175658,29878082,0,0,0,0,0,-1,1e+05,81
aorta_ENCFF115HTK,chr1,17175658,29878082,0,0,0,0,0,-1,1e+06,0
aorta_ENCFF115HTK,chr1,103913906,120697156,6,3,6,3,3,6,426358.18396,1
aorta_ENCFF115HTK,chr1,120747156,120936695,0,0,0,0,0,-1,3103.54582,7
aorta_ENCFF115HTK,chr1,121086695,121485434,0,0,0,0,0,-1,23935.841187,4
aorta_ENCFF115HTK,chr1,142535434,142731022,0,0,0,0,0,-1,7010.901333,2
aorta_ENCFF115HTK,chr1,142781022,142967761,0,0,0,0,0,-1,1040.602937,25
aorta_ENCFF115HTK,chr1,143117761,143292816,0,0,0,0,0,-1,1376.577744,7
aorta_ENCFF115HTK,chr1,143342816,143544525,0,0,0,0,0,-1,3499.591618,5
aorta_ENCFF115HTK,chr1,143644525,143771002,0,0,0,0,0,-1,3943.99034,3
aorta_ENCFF115HTK,chr1,143871002,144095783,0,0,0,0,0,-1,3085.571718,4
aorta_ENCFF115HTK,chr1,144145783,144224481,0,0,0,0,0,-1,0.077788,2
aorta_ENCFF115HTK,chr1,144451744,144622413,0,0,0,0,0,-1,13798.122183,4
aorta_ENCFF115HTK,chr1,144672413,144710724,0,0,0,0,0,-1,278.136944,26
aorta_ENCFF115HTK,chr1,144810724,145833118,0,0,0,0,0,-1,79301.742626,11
aorta_ENCFF115HTK,chr1,145883118,146164650,0,0,0,0,0,-1,2851.439364,2
aorta_ENCFF115HTK,chr1,146214650,146253299,0,0,0,0,0,-1,0.826719,13
aorta_ENCFF115HTK,chr1,146303299,148026038,0,0,0,0,0,-1,37051.197176,15
aorta_ENCFF115HTK,chr1,148176038,148361358,0,0,0,0,0,-1,4311.421727,5
aorta_ENCFF115HTK,chr1,148511358,148684147,0,0,0,0,0,-1,7190.843142,2
aorta_ENCFF115HTK,chr1,148734147,148954460,0,0,0,0,0,-1,3905.899943,3
aorta_ENCFF115HTK,chr1,149004460,149459645,0,0,0,0,0,-1,9748.083901,5
aorta_ENCFF115HTK,chr1,149509645,205922707,41,33,41,0,20,33,1000,2907
aorta_ENCFF115HTK,chr1,149509645,205922707,41,2,41,0,20,2,10000,551
aorta_ENCFF115HTK,chr1,149509645,205922707,41,0,41,6,20,6,1e+05,196
aorta_ENCFF115HTK,chr1,149509645,205922707,41,1,41,20,20,21,1e+06,1
aorta_ENCFF115HTK,chr1,149509645,205922707,41,11,41,0,20,11,3969.013944,958
aorta_ENCFF115HTK,chr1,206072707,206332221,0,0,0,0,0,-1,2383.752214,5
aorta_ENCFF115HTK,chr1,206482221,223747846,3,3,3,0,2,3,1000,713
aorta_ENCFF115HTK,chr1,206482221,223747846,3,0,3,0,2,0,10000,127
aorta_ENCFF115HTK,chr1,206482221,223747846,3,0,3,0,2,0,1e+05,43
aorta_ENCFF115HTK,chr1,206482221,223747846,3,0,3,2,2,2,1e+06,0
aorta_ENCFF115HTK,chr1,223797846,235192211,0,0,0,0,0,-1,58180.643992,64
aorta_ENCFF115HTK,chr1,235242211,248908210,1,1,1,0,0,1,1000,505
aorta_ENCFF115HTK,chr1,235242211,248908210,1,1,1,0,0,1,10000,87
aorta_ENCFF115HTK,chr1,235242211,248908210,1,0,1,0,0,0,1e+05,30
aorta_ENCFF115HTK,chr1,235242211,248908210,1,0,1,0,0,0,1e+06,0
aorta_ENCFF115HTK,chr1,249058210,249240621,0,0,0,0,0,-1,21893.062103,6
aorta_ENCFF115HTK,chr2,10000,3529312,0,0,0,0,0,-1,14021.772868,16
aorta_ENCFF115HTK,chr2,3579312,5018788,0,0,0,0,0,-1,7090.883765,6
aorta_ENCFF115HTK,chr2,5118788,16279724,0,0,0,0,0,-1,26668.538514,33
aorta_ENCFF115HTK,chr2,16329724,21153113,0,0,0,0,0,-1,29498.562967,19
aorta_ENCFF115HTK,chr2,21178113,87668206,0,0,0,0,0,-1,40004.369598,296
aorta_ENCFF115HTK,chr2,87718206,89630436,0,0,0,0,0,-1,16098.330634,7
aorta_ENCFF115HTK,chr2,89830436,90321525,0,0,0,0,0,-1,3585.744566,5
aorta_ENCFF115HTK,chr2,90371525,90545103,0,0,0,0,0,-1,5186.31741,6
aorta_ENCFF115HTK,chr2,91595103,92326171,0,0,0,0,0,-1,10004.262,10
aorta_ENCFF115HTK,chr2,95326171,110109337,0,0,0,0,0,-1,37406.386245,76
aorta_ENCFF115HTK,chr2,110251337,149690582,38,29,38,0,12,29,1000,1281
aorta_ENCFF115HTK,chr2,110251337,149690582,38,7,38,0,12,7,10000,197
aorta_ENCFF115HTK,chr2,110251337,149690582,38,0,38,0,12,0,1e+05,64
aorta_ENCFF115HTK,chr2,110251337,149690582,38,0,38,12,12,12,1e+06,0
aorta_ENCFF115HTK,chr2,149790582,234003741,0,0,0,0,0,-1,30305.268549,321
aorta_ENCFF115HTK,chr2,234053741,239801978,0,0,0,0,0,-1,28215.467278,28
aorta_ENCFF115HTK,chr2,239831978,240784132,0,0,0,0,0,-1,7671.704138,10
aorta_ENCFF115HTK,chr2,240809132,243102476,0,0,0,0,0,-1,37101.671776,20
aorta_ENCFF115HTK,chr2,243152476,243189373,0,0,0,0,0,-1,4.038143,17
aorta_ENCFF115HTK,chr3,60000,66170270,0,0,0,0,0,-1,40945.928432,329
aorta_ENCFF115HTK,chr3,66270270,90504854,0,0,0,0,0,-1,21763.973284,53
aorta_ENCFF115HTK,chr3,93504854,194041961,36,34,36,0,23,34,1000,4251
aorta_ENCFF115HTK,chr3,93504854,194041961,36,2,36,0,23,2,10000,635
aorta_ENCFF115HTK,chr3,93504854,194041961,36,0,36,8,23,8,1e+05,241
aorta_ENCFF115HTK,chr3,194047251,197962430,0,0,0,0,0,-1,44104.16323,33
aorta_ENCFF115HTK,chr4,10000,1423146,0,0,0,0,0,-1,53388.990009,15
aorta_ENCFF115HTK,chr4,1478646,8799203,0,0,0,0,0,-1,41109.170055,50
aorta_ENCFF115HTK,chr4,8818203,9274642,0,0,0,0,0,-1,5117.245887,5
aorta_ENCFF115HTK,chr4,9324642,31820917,0,0,0,0,0,-1,21847.556548,50
aorta_ENCFF115HTK,chr4,31837417,32834638,0,0,0,0,0,-1,820.987655,7
aorta_ENCFF115HTK,chr4,32840638,40296396,4,3,4,0,2,3,1000,183
aorta_ENCFF115HTK,chr4,32840638,40296396,4,1,4,0,2,1,10000,30
aorta_ENCFF115HTK,chr4,32840638,40296396,4,0,4,0,2,0,1e+05,13
aorta_ENCFF115HTK,chr4,32840638,40296396,4,0,4,2,2,2,1e+06,0
aorta_ENCFF115HTK,chr4,40297096,49338941,3,0,3,0,0,0,1000,361
aorta_ENCFF115HTK,chr4,40297096,49338941,3,0,3,0,0,0,10000,49
aorta_ENCFF115HTK,chr4,40297096,49338941,3,0,3,0,0,0,1e+05,16
aorta_ENCFF115HTK,chr4,40297096,49338941,3,0,3,0,0,0,1e+06,0
aorta_ENCFF115HTK,chr4,49488941,49660117,0,0,0,0,0,-1,6981.498752,4
aorta_ENCFF115HTK,chr4,52660117,59739333,0,0,0,0,0,-1,36755.142422,33
aorta_ENCFF115HTK,chr4,59789333,75427379,0,0,0,0,0,-1,15803.401308,35
aorta_ENCFF115HTK,chr4,75452279,191044276,0,0,0,0,0,-1,20018.067285,417
aorta_ENCFF115HTK,chr5,10000,17530657,0,0,0,0,0,-1,23727.360175,55
aorta_ENCFF115HTK,chr5,17580657,46405641,0,0,0,0,0,-1,22195.042226,71
aorta_ENCFF115HTK,chr5,49405641,91636128,0,0,0,0,0,-1,33481.160627,149
aorta_ENCFF115HTK,chr5,91686128,138787073,0,0,0,0,0,-1,36541.7362,160
aorta_ENCFF115HTK,chr5,138837073,155138727,0,0,0,0,0,-1,60287.704402,80
aorta_ENCFF115HTK,chr5,155188727,180905260,0,0,0,0,0,-1,41630.52808,115
aorta_ENCFF115HTK,chr6,60000,58087659,0,0,0,0,0,-1,63121.926161,307
