track,annotation,chrom,chromEnd,chromStart,createdBy,lastModifiedBy
aorta_ENCFF115HTK,noPeak,chr1,30178239,30162499,None,None
aorta_ENCFF115HTK,peakStart,chr1,30179859,30178879,None,None
aorta_ENCFF115HTK,peakEnd,chr1,30180659,30179919,None,None
aorta_ENCFF115HTK,noPeak,chr1,30210999,30181959,None,None
aorta_ENCFF115HTK,noPeak,chr1,30447699,30239499,None,None
aorta_ENCFF115HTK,noPeak,chr1,30553199,30457399,None,None
aorta_ENCFF115HTK,peakEnd,chr1,30560359,30559139,None,None
aorta_ENCFF115HTK,noPeak,chr1,30580319,30560679,None,None
aorta_ENCFF115HTK,noPeak,chr1,30798499,30581499,None,None
aorta_ENCFF115HTK,noPeak,chr1,31034599,30805499,None,None
aorta_ENCFF115HTK,noPeak,chr1,31130799,31039599,None,None
aorta_ENCFF115HTK,noPeak,chr1,31174199,31134159,None,None
aorta_ENCFF115HTK,noPeak,chr1,31188639,31176819,None,None
aorta_ENCFF115HTK,peakEnd,chr1,31193619,31191899,None,None
aorta_ENCFF115HTK,noPeak,chr1,31222219,31193939,None,None
aorta_ENCFF115HTK,noPeak,chr1,39543587,39501168,NaN,NaN
aorta_ENCFF115HTK,noPeak,chr1,39566350,39551794,NaN,NaN
aorta_ENCFF115HTK,peakStart,chr1,39570953,39567901,NaN,NaN
aorta_ENCFF115HTK,peakEnd,chr1,39578216,39571901,NaN,NaN
aorta_ENCFF115HTK,noPeak,chr1,39592952,39579058,NaN,NaN
aorta_ENCFF115HTK,noPeak,chr1,39622319,39612319,NaN,NaN
aorta_ENCFF115HTK,noPeak,chr1,39624950,39622424,NaN,NaN
aorta_ENCFF115HTK,noPeak,chr1,39632739,39626002,NaN,NaN
aorta_ENCFF115HTK,noPeak,chr1,51690199,51643799,tdhock5@gmail.com,tdhock5@gmail.com
aorta_ENCFF115HTK,peakStart,chr1,51702399,51698499,NaN,tdhock5@gmail.com
aorta_ENCFF115HTK,peakEnd,chr1,51707799,51702499,tdhock5@gmail.com,tdhock5@gmail.com
aorta_ENCFF115HTK,noPeak,chr1,51720099,51708699,tdhock5@gmail.com,tdhock5@gmail.com
aorta_ENCFF115HTK,noPeak,chr1,51788899,51772199,tdhock5@gmail.com,tdhock5@gmail.com
aorta_ENCFF115HTK,noPeak,chr1,51868699,51837599,None,None
aorta_ENCFF115HTK,noPeak,chr1,51934599,51906599,None,None
aorta_ENCFF115HTK,peakStart,chr1,51983899,51976899,None,None
aorta_ENCFF115HTK,peakEnd,chr1,51987299,51984299,None,None
aorta_ENCFF115HTK,noPeak,chr1,52020099,51991999,None,None
aorta_ENCFF115HTK,noPeak,chr1,52078299,52033499,None,None
aorta_ENCFF115HTK,peakStart,chr1,52082999,52079899,None,None
aorta_ENCFF115HTK,peakEnd,chr1,52086099,52083299,None,None
aorta_ENCFF115HTK,noPeak,chr1,52122799,52087199,None,None
aorta_ENCFF115HTK,noPeak,chr1,52188399,52132599,None,None
aorta_ENCFF115HTK,peakStart,chr1,52195399,52192499,None,None
aorta_ENCFF115HTK,peakEnd,chr1,52198699,52195599,None,None
aorta_ENCFF115HTK,noPeak,chr1,52256299,52210399,None,None
aorta_ENCFF115HTK,noPeak,chr1,52330699,52261999,None,None
aorta_ENCFF115HTK,peakStart,chr1,52343999,52338999,None,None
aorta_ENCFF115HTK,peakEnd,chr1,52347899,52344199,None,None
aorta_ENCFF115HTK,noPeak,chr1,52405399,52351299,None,None
aorta_ENCFF115HTK,noPeak,chr1,52450099,52407399,None,None
aorta_ENCFF115HTK,noPeak,chr1,52491599,52460699,None,None
aorta_ENCFF115HTK,peakStart,chr1,52498899,52495299,None,None
aorta_ENCFF115HTK,peakEnd,chr1,52501699,52499199,None,None
aorta_ENCFF115HTK,noPeak,chr1,52516899,52502999,None,None
aorta_ENCFF115HTK,peakStart,chr1,52521099,52517499,None,None
aorta_ENCFF115HTK,peakEnd,chr1,52525799,52521499,None,None
aorta_ENCFF115HTK,noPeak,chr1,52560499,52526799,None,None
aorta_ENCFF115HTK,noPeak,chr1,52597399,52562199,None,None
aorta_ENCFF115HTK,peakStart,chr1,52608099,52601899,None,None
aorta_ENCFF115HTK,peakEnd,chr1,52611979,52608239,None,None
