track,annotation,chrom,chromEnd,chromStart,createdBy,lastModifiedBy
aorta_ENCFF115HTK,peakStart,chr1,16855201,16260655,None,None
aorta_ENCFF115HTK,peakEnd,chr1,17828094,16909250,None,None
aorta_ENCFF115HTK,noPeak,chr1,39543587,39501168,NaN,NaN
aorta_ENCFF115HTK,noPeak,chr1,39566350,39551794,NaN,NaN
aorta_ENCFF115HTK,peakStart,chr1,39570953,39567901,NaN,NaN
aorta_ENCFF115HTK,peakEnd,chr1,39578216,39571901,NaN,NaN
aorta_ENCFF115HTK,noPeak,chr1,39592952,39579058,NaN,NaN
aorta_ENCFF115HTK,noPeak,chr1,39622319,39612319,NaN,NaN
aorta_ENCFF115HTK,noPeak,chr1,39624950,39622424,NaN,NaN
aorta_ENCFF115HTK,noPeak,chr1,39632739,39626002,NaN,NaN
aorta_ENCFF115HTK,noPeak,chr1,51690199,51643799,tdhock5@gmail.com,tdhock5@gmail.com
aorta_ENCFF115HTK,peakStart,chr1,51702399,51698499,NaN,tdhock5@gmail.com
aorta_ENCFF115HTK,peakEnd,chr1,51707799,51702499,tdhock5@gmail.com,tdhock5@gmail.com
aorta_ENCFF115HTK,noPeak,chr1,51720099,51708699,tdhock5@gmail.com,tdhock5@gmail.com
aorta_ENCFF115HTK,noPeak,chr1,51788899,51772199,tdhock5@gmail.com,tdhock5@gmail.com
aorta_ENCFF115HTK,noPeak,chr1,51868699,51837599,None,None
aorta_ENCFF115HTK,noPeak,chr1,51934599,51906599,None,None
aorta_ENCFF115HTK,peakStart,chr1,51983899,51976899,None,None
aorta_ENCFF115HTK,peakEnd,chr1,51987299,51984299,None,None
aorta_ENCFF115HTK,noPeak,chr1,52020099,51991999,None,None
aorta_ENCFF115HTK,noPeak,chr1,52078299,52033499,None,None
aorta_ENCFF115HTK,peakStart,chr1,52082999,52079899,None,None
aorta_ENCFF115HTK,peakEnd,chr1,52086099,52083299,None,None
aorta_ENCFF115HTK,noPeak,chr1,52122799,52087199,None,None
aorta_ENCFF115HTK,noPeak,chr1,52188399,52132599,None,None
aorta_ENCFF115HTK,peakStart,chr1,52195399,52192499,None,None
aorta_ENCFF115HTK,peakEnd,chr1,52198699,52195599,None,None
aorta_ENCFF115HTK,noPeak,chr1,52256299,52210399,None,None
aorta_ENCFF115HTK,noPeak,chr1,52330699,52261999,None,None
aorta_ENCFF115HTK,peakStart,chr1,52343999,52338999,None,None
aorta_ENCFF115HTK,peakEnd,chr1,52347899,52344199,None,None
aorta_ENCFF115HTK,noPeak,chr1,52405399,52351299,None,None
aorta_ENCFF115HTK,noPeak,chr1,52450099,52407399,None,None
aorta_ENCFF115HTK,noPeak,chr1,52491599,52460699,None,None
aorta_ENCFF115HTK,peakStart,chr1,52498899,52495299,None,None
aorta_ENCFF115HTK,peakEnd,chr1,52501699,52499199,None,None
aorta_ENCFF115HTK,noPeak,chr1,52516899,52502999,None,None
aorta_ENCFF115HTK,peakStart,chr1,52521099,52517499,None,None
aorta_ENCFF115HTK,peakEnd,chr1,52525799,52521499,None,None
aorta_ENCFF115HTK,noPeak,chr1,52560499,52526799,None,None
aorta_ENCFF115HTK,noPeak,chr1,52597399,52562199,None,None
aorta_ENCFF115HTK,peakStart,chr1,52608099,52601899,None,None
aorta_ENCFF115HTK,peakEnd,chr1,52611979,52608239,None,None
aorta_ENCFF115HTK,noPeak,chr1,52659599,52614899,None,None
aorta_ENCFF115HTK,noPeak,chr1,52863999,52846399,None,None
aorta_ENCFF115HTK,peakStart,chr1,52870199,52867149,None,None
aorta_ENCFF115HTK,peakEnd,chr1,52873499,52870449,None,None
aorta_ENCFF115HTK,peakStart,chr1,85666699,85661299,None,None
aorta_ENCFF115HTK,peakEnd,chr1,85671599,85666999,None,None
aorta_ENCFF115HTK,peakEnd,chr1,150162379,150159299,None,None
aorta_ENCFF115HTK,noPeak,chr1,151640999,151609499,None,None
aorta_ENCFF115HTK,noPeak,chr1,192348472,187269854,None,None
aorta_ENCFF115HTK,noPeak,chr1,241317265,237967538,None,None
aorta_ENCFF115HTK,noPeak,chr2,131846879,131835159,None,None
aorta_ENCFF115HTK,peakStart,chr2,131850799,131848239,None,None
aorta_ENCFF115HTK,peakEnd,chr2,131853039,131851159,None,None
aorta_ENCFF115HTK,noPeak,chr2,131859799,131853999,None,None
aorta_ENCFF115HTK,peakStart,chr2,131863279,131860639,None,None
aorta_ENCFF115HTK,peakEnd,chr2,131866319,131863519,None,None
aorta_ENCFF115HTK,noPeak,chr2,131879919,131866679,None,None
aorta_ENCFF115HTK,noPeak,chr2,131907919,131882999,None,None
aorta_ENCFF115HTK,noPeak,chr2,131935719,131909839,None,None
aorta_ENCFF115HTK,noPeak,chr2,131962959,131937279,None,None
aorta_ENCFF115HTK,noPeak,chr2,131993879,131963999,None,None
aorta_ENCFF115HTK,noPeak,chr2,132037079,132004919,None,None
aorta_ENCFF115HTK,noPeak,chr2,132079199,132045799,None,None
aorta_ENCFF115HTK,noPeak,chr2,132110559,132081879,None,None
aorta_ENCFF115HTK,noPeak,chr2,132153319,132124279,None,None
aorta_ENCFF115HTK,noPeak,chr2,132188039,132156679,None,None
aorta_ENCFF115HTK,noPeak,chr2,132218879,132190239,None,None
aorta_ENCFF115HTK,noPeak,chr2,132242319,132220199,None,None
aorta_ENCFF115HTK,peakStart,chr2,132250519,132244399,None,None
aorta_ENCFF115HTK,peakEnd,chr2,132255319,132250799,None,None
aorta_ENCFF115HTK,noPeak,chr2,132274359,132255839,None,None
aorta_ENCFF115HTK,noPeak,chr2,132307399,132289679,None,None
aorta_ENCFF115HTK,noPeak,chr2,132341399,132309479,None,None
aorta_ENCFF115HTK,noPeak,chr2,132384359,132349639,None,None
aorta_ENCFF115HTK,noPeak,chr2,132418359,132387079,None,None
aorta_ENCFF115HTK,noPeak,chr2,132438279,132433879,None,None
aorta_ENCFF115HTK,peakStart,chr2,132439879,132438559,None,None
aorta_ENCFF115HTK,peakEnd,chr2,132443999,132439999,None,None
aorta_ENCFF115HTK,noPeak,chr2,132462559,132444719,None,None
aorta_ENCFF115HTK,noPeak,chr2,132498439,132463799,None,None
aorta_ENCFF115HTK,noPeak,chr2,136731249,136644758,NaN,NaN
aorta_ENCFF115HTK,peakStart,chr2,136742590,136740445,NaN,NaN
aorta_ENCFF115HTK,peakEnd,chr2,136745617,136743237,NaN,NaN
aorta_ENCFF115HTK,noPeak,chr2,136866717,136752091,NaN,NaN
aorta_ENCFF115HTK,noPeak,chr2,137509669,137269995,NaN,NaN
aorta_ENCFF115HTK,peakStart,chr2,137522987,137518655,NaN,NaN
aorta_ENCFF115HTK,peakEnd,chr2,137529919,137523681,NaN,NaN
