annotation	chrom	chromEnd	chromStart	createdBy	lastModifiedBy	lastModified	track	dupe
noPeak	chr1	30178239.0	30162499.0				aorta_ENCFF115HTK	
peakStart	chr1	30179859.0	30178879.0				aorta_ENCFF115HTK	
peakEnd	chr1	30180659.0	30179919.0				aorta_ENCFF115HTK	
noPeak	chr1	30210999.0	30181959.0				aorta_ENCFF115HTK	
noPeak	chr1	30447699.0	30239499.0				aorta_ENCFF115HTK	
noPeak	chr1	30553199.0	30457399.0				aorta_ENCFF115HTK	
peakEnd	chr1	30560359.0	30559139.0				aorta_ENCFF115HTK	
noPeak	chr1	30580319.0	30560679.0				aorta_ENCFF115HTK	
noPeak	chr1	30798499.0	30581499.0				aorta_ENCFF115HTK	
noPeak	chr1	31034599.0	30805499.0				aorta_ENCFF115HTK	
noPeak	chr1	31130799.0	31039599.0				aorta_ENCFF115HTK	
noPeak	chr1	31174199.0	31134159.0				aorta_ENCFF115HTK	
noPeak	chr1	31188639.0	31176819.0				aorta_ENCFF115HTK	
peakEnd	chr1	31193619.0	31191899.0				aorta_ENCFF115HTK	
noPeak	chr1	31222219.0	31193939.0				aorta_ENCFF115HTK	
noPeak	chr1	39543587.0	39501168.0				aorta_ENCFF115HTK	
noPeak	chr1	39566350.0	39551794.0				aorta_ENCFF115HTK	
peakStart	chr1	39570953.0	39567901.0				aorta_ENCFF115HTK	
peakEnd	chr1	39578216.0	39571901.0				aorta_ENCFF115HTK	
noPeak	chr1	39592952.0	39579058.0				aorta_ENCFF115HTK	
noPeak	chr1	39622319.0	39612319.0				aorta_ENCFF115HTK	
noPeak	chr1	39624950.0	39622424.0				aorta_ENCFF115HTK	
noPeak	chr1	39632739.0	39626002.0				aorta_ENCFF115HTK	
noPeak	chr1	51690199.0	51643799.0	tdhock5@gmail.com	tdhock5@gmail.com		aorta_ENCFF115HTK	
peakStart	chr1	51702399.0	51698499.0		tdhock5@gmail.com		aorta_ENCFF115HTK	
peakEnd	chr1	51707799.0	51702499.0	tdhock5@gmail.com	tdhock5@gmail.com		aorta_ENCFF115HTK	
noPeak	chr1	51720099.0	51708699.0	tdhock5@gmail.com	tdhock5@gmail.com		aorta_ENCFF115HTK	
noPeak	chr1	51788899.0	51772199.0	tdhock5@gmail.com	tdhock5@gmail.com		aorta_ENCFF115HTK	
noPeak	chr1	51868699.0	51837599.0				aorta_ENCFF115HTK	
noPeak	chr1	51934599.0	51906599.0				aorta_ENCFF115HTK	
peakStart	chr1	51983899.0	51976899.0				aorta_ENCFF115HTK	
peakEnd	chr1	51987299.0	51984299.0				aorta_ENCFF115HTK	
noPeak	chr1	52020099.0	51991999.0				aorta_ENCFF115HTK	
noPeak	chr1	52078299.0	52033499.0				aorta_ENCFF115HTK	
